DEPTH,CALI,DENC,DENS,DTC,GR,NEUT,SP
2807.5,19.3947,-0.0261,2.162,98.3001,18.9233,0.4112,200.224
2808.0,19.8444,0.0086,2.177,99.2796,18.6867,0.4269,200.6004
2808.5,20.2941,0.0238,2.175,99.7587,16.7721,0.4297,200.9716
2809.0,20.6938,0.0194,2.157,99.3867,14.9596,0.4271,201.3125
2809.5,20.7937,-0.0066,2.154,98.5416,14.7283,0.4141,201.4729
2810.0,20.7937,-0.0066,2.151,97.5213,15.1102,0.3947,201.4287
2810.5,21.2934,-0.0044,2.151,96.9984,14.5831,0.3707,201.3337
2811.0,21.3933,0.0151,2.127,97.8295,13.3461,0.3487,201.3335
2811.5,21.3433,0.0021,2.118,99.5296,13.0395,0.3426,201.3082
2812.0,21.843,-0.0131,2.11,100.7912,13.5559,0.3522,201.133
2812.5,22.2927,0.0086,2.101,101.8305,13.5478,0.3599,201.0623
2813.0,22.2927,0.0151,2.065,103.255,13.0369,0.3782,201.1429
2813.5,22.2927,-0.0131,2.023,104.0935,13.1444,0.3784,200.9781
2814.0,22.2927,-0.0109,1.953,103.7461,13.7844,0.3853,200.504
2814.5,22.2927,0.0064,1.858,102.9288,14.4325,0.4053,199.9076
2815.0,22.2927,0.0931,1.765,101.8323,15.0456,0.4216,199.7307
2815.5,22.2927,0.0974,1.705,101.1684,15.5135,0.4149,199.8763
2816.0,22.2927,0.1018,1.683,102.1878,15.4705,0.4063,200.0924
2816.5,22.2927,0.0823,1.683,102.4065,15.1102,0.4063,200.1473
2817.0,22.2927,0.0823,1.681,101.1308,14.2981,0.3801,199.9097
2817.5,22.2927,0.0584,1.648,99.9153,14.6288,0.3752,199.7201
2818.0,22.2927,0.0303,1.566,99.3403,14.9838,0.3817,199.8107
2818.5,22.2927,0.0043,1.478,99.482,14.7579,0.4053,200.0485
2819.0,22.2927,-0.0152,1.418,100.3238,15.0913,0.4415,200.2932
2819.5,22.2927,-0.0304,1.415,100.6561,15.2177,0.4413,200.4612
2820.0,22.2927,-0.0131,1.465,100.7569,14.9327,0.4206,200.415
2820.5,22.2927,0.0238,1.582,99.7666,14.1286,0.402,200.3175
2821.0,22.2927,0.0996,1.745,97.2305,12.6889,0.3911,200.7816
2821.5,22.2927,0.1018,1.888,94.7808,11.4782,0.3571,200.9936
2822.0,22.2927,0.0303,1.972,91.9097,12.0044,0.3591,200.9209
2822.5,22.2927,0.0216,1.971,88.9284,12.5798,0.3723,200.7522
2823.0,22.2927,0.0844,1.947,89.0542,12.979,0.3796,200.8282
2823.5,22.2927,0.1191,1.922,89.9313,13.6959,0.4037,200.8711
2824.0,22.2927,0.1234,1.965,89.9074,13.8541,0.4385,200.7361
2824.5,22.2927,0.1039,2.035,90.3988,13.5736,0.4623,200.7333
2825.0,22.2927,0.0173,2.127,91.2079,13.4322,0.4908,200.6837
2825.5,22.2927,0.0151,2.167,91.3029,13.0725,0.501,200.5469
2826.0,22.2927,-0.0001,2.141,90.837,12.3976,0.4938,200.3948
2826.5,22.2927,0.0953,2.111,90.5488,12.2945,0.4702,200.1749
2827.0,22.2927,0.1494,2.024,91.034,11.7239,0.4688,199.8905
2827.5,22.2927,0.1191,1.948,91.8532,10.6906,0.4599,199.7208
2828.0,22.2927,0.1018,1.921,93.1262,9.439,0.4334,200.0393
2828.5,22.2927,0.1754,1.913,94.7688,8.7558,0.4387,200.2709
2829.0,22.2927,0.1884,1.883,95.762,8.5724,0.4401,200.3739
2829.5,22.2927,0.1689,1.87,96.6132,9.2341,0.4204,200.4617
2830.0,22.2927,0.1061,1.882,96.2909,9.9246,0.4045,200.4705
2830.5,22.2927,0.1126,1.917,94.6748,9.8335,0.3904,200.2614
2831.0,22.2927,0.1256,1.917,92.6638,9.6752,0.3666,200.424
2831.5,22.2927,0.0649,1.901,91.0744,9.1765,0.3308,200.6969
